demand_id,demand_lat,demand_lon,Demand_received,Demand_reached,Demand_completed,Car_station,Call_type,Car_lat,Car_lon,DriveDistance,DriveTime
17,38.7455268,-9.11863655,08-08-2024 15:49,08-08-2024 16:17,08-08-2024 17:11,305,3,38.7806596,-9.121647916,3918.941368,4.702729642
18,38.7372092,-9.126044347,08-02-2024 05:49,08-02-2024 05:57,08-02-2024 06:10,302,3,38.7563652,-9.132766569,2256.260222,2.707512266
19,38.7250654,-9.123940933,09-18-2024 07:53,09-18-2024 08:23,09-18-2024 09:14,302,1,38.7247632,-9.165277567,4594.234934,5.513081921
20,38.7448315,-9.09501202,11-16-2024 13:15,11-16-2024 13:38,11-16-2024 14:27,301,3,38.722623,-9.115460902,3355.172558,4.02620707
21,38.7036942,-9.184012438,02-11-2024 00:41,02-11-2024 01:17,02-11-2024 02:12,305,3,38.778005,-9.180217996,8269.587637,9.923505165
22,38.7731813,-9.196401664,08-18-2024 18:22,08-18-2024 18:50,08-18-2024 19:43,302,3,38.7016063,-9.163517037,8754.183696,10.50502044
23,38.7752929,-9.144542316,10-26-2024 12:38,10-26-2024 13:13,10-26-2024 13:32,305,2,38.7515538,-9.111778084,4496.722626,5.396067151
24,38.7509375,-9.147237349,09-10-2024 06:57,09-10-2024 07:43,09-10-2024 08:20,300,3,38.7111177,-9.186878787,6244.647211,7.493576653
25,38.7303064,-9.123496477,10-09-2024 20:04,10-09-2024 20:54,10-09-2024 21:46,305,2,38.7828335,-9.098970693,6442.813542,7.73137625
26,38.7233561,-9.17602677,12-24-2024 22:38,12-24-2024 23:25,12-24-2024 23:54,301,1,38.753538,-9.182244662,3424.829512,4.109795415
27,38.704252,-9.110991338,06-03-2024 20:27,06-03-2024 20:56,06-03-2024 21:40,300,3,38.7292293,-9.187031821,8895.301018,10.67436122
28,38.7094713,-9.099820609,08-06-2024 22:56,08-07-2024 00:01,08-07-2024 00:32,305,1,38.7299512,-9.132002714,4239.503735,5.087404482
29,38.7377851,-9.095252957,08-25-2024 01:51,08-25-2024 02:10,08-25-2024 02:57,304,2,38.7424171,-9.185050192,9993.243407,11.99189209
30,38.7660658,-9.1574495,04-12-2024 11:28,04-12-2024 11:45,04-12-2024 12:36,302,2,38.7722766,-9.131106328,3008.023278,3.609627933
31,38.7488405,-9.110325642,06-03-2024 20:37,06-03-2024 21:02,06-03-2024 21:56,305,3,38.7041346,-9.193332249,10478.1825,12.573819
32,38.7716758,-9.152174788,03-25-2024 08:26,03-25-2024 08:50,03-25-2024 09:08,301,3,38.7643944,-9.169816699,2121.141927,2.545370312
33,38.7127142,-9.188778805,06-16-2024 00:43,06-16-2024 01:04,06-16-2024 01:12,302,2,38.777026,-9.116833666,10724.83325,12.8697999
34,38.7187653,-9.169391283,07-21-2024 04:54,07-21-2024 05:36,07-21-2024 06:02,302,2,38.7280371,-9.155809422,1827.66463,2.193197556
35,38.7052841,-9.109239785,09-04-2024 08:38,09-04-2024 09:01,09-04-2024 09:53,301,3,38.7414408,-9.184655537,9295.129786,11.15415574
36,38.7098852,-9.119751461,07-12-2024 10:17,07-12-2024 11:00,07-12-2024 11:43,305,3,38.7583446,-9.169606922,7727.062713,9.272475256
37,38.7523009,-9.190203733,02-03-2024 10:23,02-03-2024 10:45,02-03-2024 11:33,302,2,38.7160579,-9.190510081,4028.154668,4.833785602
38,38.7789881,-9.173993391,07-07-2024 15:45,07-07-2024 16:36,07-07-2024 16:58,301,1,38.7468528,-9.180684376,3648.080389,4.377696467
39,38.7709984,-9.158229521,04-23-2024 11:07,04-23-2024 11:19,04-23-2024 12:01,302,3,38.7575756,-9.132382991,3236.826159,3.88419139
40,38.7221773,-9.115395434,05-30-2024 00:56,05-30-2024 01:20,05-30-2024 02:09,300,3,38.7837714,-9.120764474,6871.464488,8.245757386
41,38.77518,-9.114119184,05-17-2024 02:06,05-17-2024 02:55,05-17-2024 03:04,302,3,38.7292615,-9.148450227,6371.986823,7.646384187
42,38.7507666,-9.139737193,03-02-2024 10:04,03-02-2024 10:19,03-02-2024 11:08,304,3,38.7563647,-9.091983737,5343.614995,6.412337994
43,38.7056318,-9.119192897,01-19-2024 23:16,01-19-2024 23:44,01-19-2024 00:39,300,1,38.7259883,-9.111154067,2432.420867,2.91890504
44,38.7022578,-9.111279044,02-07-2024 04:30,02-07-2024 05:01,02-07-2024 05:13,300,1,38.7421588,-9.100297773,4599.433656,5.519320387
45,38.7392778,-9.195759959,08-16-2024 08:51,08-16-2024 09:10,08-16-2024 09:38,301,1,38.7348422,-9.124176382,7970.985655,9.565182786
46,38.7654339,-9.1594421,01-13-2024 21:21,01-13-2024 22:15,01-13-2024 22:33,302,1,38.7626071,-9.123982331,3953.465926,4.744159112
47,38.7098681,-9.183129522,05-28-2024 22:52,05-28-2024 23:16,05-28-2024 23:36,301,1,38.7355572,-9.117441666,7838.904213,9.406685055
48,38.7434464,-9.108373755,03-11-2024 09:56,03-11-2024 10:29,03-11-2024 11:11,302,3,38.7516701,-9.173858565,7335.081032,8.802097238
49,38.7006267,-9.124731743,07-01-2024 19:37,07-01-2024 20:07,07-01-2024 20:34,302,3,38.7295733,-9.105390779,3869.135594,4.642962712
50,38.7888495,-9.097481918,03-01-2024 07:42,03-01-2024 08:33,03-01-2024 09:20,301,2,38.7287587,-9.151062863,8947.774532,10.73732944
51,38.7438906,-9.090788876,04-13-2024 22:09,04-13-2024 22:19,04-13-2024 22:56,302,2,38.7407473,-9.105579371,1680.512372,2.016614847
52,38.7455748,-9.179471524,02-02-2024 11:06,02-02-2024 11:50,02-02-2024 12:09,305,1,38.7280587,-9.131932527,5630.66853,6.756802235
53,38.7707082,-9.107125481,07-29-2024 04:19,07-29-2024 05:10,07-29-2024 05:45,304,3,38.7082288,-9.095082562,7071.713806,8.486056567
54,38.7768693,-9.176363854,07-18-2024 15:01,07-18-2024 15:49,07-18-2024 15:59,304,3,38.7376034,-9.195943297,4876.413433,5.851696119
55,38.7793167,-9.145159469,01-07-2024 10:24,01-07-2024 11:17,01-07-2024 11:25,302,1,38.7679897,-9.117129575,3359.958039,4.031949647
56,38.7299753,-9.174046118,10-20-2024 22:21,10-20-2024 23:12,10-20-2024 23:55,301,3,38.769468,-9.119202276,7511.155113,9.013386136
57,38.7729547,-9.108572709,06-04-2024 20:29,06-04-2024 21:00,06-04-2024 21:16,302,2,38.7017813,-9.193875515,12347.04851,14.81645821
58,38.7805699,-9.093218115,11-24-2024 14:50,11-24-2024 15:36,11-24-2024 16:22,305,3,38.7220564,-9.185351077,12130.10392,14.5561247
59,38.7664746,-9.136442736,12-11-2024 02:53,12-11-2024 03:01,12-11-2024 03:41,304,3,38.7281901,-9.18907223,7233.06289,8.679675468
60,38.7083803,-9.185592639,06-11-2024 02:40,06-11-2024 03:25,06-11-2024 04:07,301,1,38.7758988,-9.139415807,9091.039533,10.90924744
61,38.7342999,-9.123993995,07-18-2024 13:51,07-18-2024 14:18,07-18-2024 14:53,300,3,38.7520411,-9.174516225,5951.123392,7.14134807
62,38.7044564,-9.186944894,03-05-2024 03:29,03-05-2024 04:12,03-05-2024 05:01,302,3,38.7850948,-9.157540809,9539.295302,11.44715436
63,38.7530813,-9.18039024,01-02-2024 00:53,01-02-2024 01:30,01-02-2024 01:50,304,3,38.7520798,-9.168507464,1325.322056,1.590386467
64,38.7278174,-9.178579757,08-03-2024 15:17,08-03-2024 16:12,08-03-2024 16:18,304,3,38.7019816,-9.177011527,2876.64985,3.45197982
65,38.7746412,-9.133901406,01-27-2024 23:55,01-28-2024 00:16,01-28-2024 00:48,300,3,38.7635107,-9.160070936,3160.595282,3.792714338
66,38.723058,-9.142574666,07-25-2024 16:43,07-25-2024 16:51,07-25-2024 17:15,302,1,38.7261884,-9.142497575,348.0150076,0.417618009
67,38.7513689,-9.124909711,02-02-2024 16:42,02-02-2024 16:49,02-02-2024 17:18,304,2,38.712687,-9.091226559,5700.514343,6.840617212
68,38.7454598,-9.140874314,12-05-2024 00:59,12-05-2024 01:43,12-05-2024 01:54,305,2,38.7419837,-9.106268517,3865.40812,4.638489745
69,38.773579,-9.099180061,09-28-2024 13:25,09-28-2024 13:35,09-28-2024 14:20,302,3,38.7596515,-9.149327399,5784.281295,6.941137554
70,38.7563034,-9.192403243,07-30-2024 02:20,07-30-2024 03:05,07-30-2024 03:14,304,1,38.7469848,-9.18197767,1554.074875,1.86488985
71,38.7798116,-9.165594832,07-01-2024 20:38,07-01-2024 21:17,07-01-2024 21:49,304,3,38.7392681,-9.099637823,8604.557969,10.32546956
72,38.7449436,-9.189669286,08-17-2024 10:41,08-17-2024 11:25,08-17-2024 12:00,302,3,38.7507698,-9.090631763,11025.96098,13.23115318
73,38.7551735,-9.151819428,08-09-2024 18:56,08-09-2024 19:37,08-09-2024 20:07,300,3,38.7339985,-9.171126957,3184.78942,3.821747304
74,38.7421147,-9.139518839,02-19-2024 09:07,02-19-2024 09:58,02-19-2024 10:13,302,3,38.7102779,-9.123007381,3985.863659,4.783036391
75,38.7811113,-9.162579351,04-11-2024 00:01,04-11-2024 00:48,04-11-2024 01:35,304,3,38.7592579,-9.15234309,2682.00337,3.218404044
76,38.7010521,-9.174235152,05-06-2024 18:15,05-06-2024 19:05,05-06-2024 19:24,304,3,38.705763,-9.104923622,7720.986205,9.265183447
77,38.7304647,-9.15983449,03-10-2024 21:33,03-10-2024 21:40,03-10-2024 22:20,302,1,38.7359392,-9.168565733,1145.350645,1.374420774
78,38.7272751,-9.195066072,05-26-2024 02:02,05-26-2024 02:43,05-26-2024 03:06,300,1,38.7267807,-9.187623664,828.9648454,0.994757814
79,38.7638226,-9.181009866,10-06-2024 19:13,10-06-2024 19:55,10-06-2024 20:45,300,1,38.7895694,-9.117818688,7583.575742,9.100290891
80,38.7786391,-9.154447435,03-31-2024 22:19,03-31-2024 23:12,03-31-2024 23:26,305,3,38.7734431,-9.131990464,2561.781584,3.074137901
81,38.7631709,-9.180655531,11-09-2024 17:28,11-09-2024 18:18,11-09-2024 18:41,301,1,38.7252836,-9.186799885,4265.76991,5.118923892
82,38.7746628,-9.161613837,04-10-2024 14:17,04-10-2024 14:46,04-10-2024 15:10,301,3,38.7119663,-9.145227444,7202.085889,8.642503067
83,38.7708143,-9.091961046,04-07-2024 10:43,04-07-2024 11:23,04-07-2024 11:38,302,2,38.7515708,-9.100486906,2339.212161,2.807054593
84,38.7245106,-9.179538716,11-02-2024 13:20,11-02-2024 13:33,11-02-2024 14:07,304,3,38.7012239,-9.102791169,8913.636291,10.69636355
85,38.7082061,-9.131911022,05-01-2024 01:54,05-01-2024 02:43,05-01-2024 02:51,304,3,38.747134,-9.18796799,7584.994569,9.101993483
86,38.7576159,-9.120068113,09-20-2024 01:34,09-20-2024 01:44,09-20-2024 02:34,301,2,38.7536132,-9.120754767,451.3543622,0.541625235
87,38.7073786,-9.1708728,09-24-2024 14:34,09-24-2024 15:08,09-24-2024 15:59,302,1,38.783793,-9.155856651,8655.042127,10.38605055
88,38.7877571,-9.17679364,04-01-2024 08:58,04-01-2024 09:40,04-01-2024 10:28,304,3,38.7424725,-9.105548473,9382.244068,11.25869288
89,38.7255367,-9.128726638,06-22-2024 07:45,06-22-2024 08:00,06-22-2024 08:15,301,2,38.7295723,-9.097805556,3465.682882,4.158819459
90,38.7811223,-9.138577519,12-09-2024 19:27,12-09-2024 19:39,12-09-2024 20:29,304,3,38.7366257,-9.090478895,7282.297674,8.738757208
91,38.7619127,-9.166768021,11-20-2024 04:49,11-20-2024 04:59,11-20-2024 05:41,304,3,38.7099283,-9.091309411,10183.86231,12.22063477
92,38.72148,-9.167823232,05-19-2024 09:23,05-19-2024 10:07,05-19-2024 10:14,304,1,38.7162637,-9.095132429,8099.557346,9.719468815
93,38.7646613,-9.104682287,06-09-2024 23:54,06-10-2024 00:12,06-10-2024 01:03,305,3,38.747146,-9.177651156,8340.048269,10.00805792
94,38.7746711,-9.183020969,11-29-2024 12:00,11-29-2024 12:41,11-29-2024 12:58,304,3,38.7704706,-9.169340636,1590.475244,1.908570293
95,38.7402827,-9.110810988,03-14-2024 06:48,03-14-2024 07:33,03-14-2024 07:46,302,3,38.7731096,-9.149645197,5651.394821,6.781673785
96,38.7615946,-9.113104314,05-21-2024 19:33,05-21-2024 20:24,05-21-2024 20:37,301,2,38.7352973,-9.099894939,3270.652103,3.924782524
97,38.758037,-9.166068079,08-10-2024 18:51,08-10-2024 19:29,08-10-2024 19:39,300,1,38.7865913,-9.171420096,3228.759406,3.874511288
98,38.7661436,-9.170352544,05-01-2024 02:39,05-01-2024 02:50,05-01-2024 03:43,304,2,38.7091756,-9.160300574,6429.172735,7.715007281
99,38.7079563,-9.127314448,11-02-2024 01:44,11-02-2024 02:11,11-02-2024 02:51,305,3,38.7258503,-9.159597195,4102.174951,4.922609942
100,38.7285516,-9.143301034,11-19-2024 07:46,11-19-2024 08:34,11-19-2024 08:46,304,2,38.7404803,-9.146451248,1371.194644,1.645433572
101,38.7474986,-9.098203333,04-02-2024 14:19,04-02-2024 14:40,04-02-2024 15:12,302,3,38.7162019,-9.097337015,3479.616264,4.175539517
102,38.7164635,-9.131950937,02-27-2024 11:52,02-27-2024 12:24,02-27-2024 13:18,300,2,38.7538187,-9.194212286,8069.553635,9.683464362
103,38.7070751,-9.108460379,01-11-2024 13:33,01-11-2024 13:58,01-11-2024 14:09,301,3,38.7264573,-9.129735901,3198.636632,3.838363959
104,38.7028263,-9.157359918,08-24-2024 16:25,08-24-2024 17:04,08-24-2024 17:09,305,1,38.7507792,-9.150695627,5380.658291,6.456789949
105,38.7559346,-9.17618737,11-11-2024 15:51,11-11-2024 16:45,11-11-2024 17:36,300,3,38.7085641,-9.145327836,6283.311072,7.539973287
106,38.7006778,-9.124965851,08-22-2024 13:53,08-22-2024 14:28,08-22-2024 15:17,302,3,38.7373221,-9.152730883,5109.616854,6.131540225
107,38.7407391,-9.165380541,06-26-2024 08:52,06-26-2024 09:41,06-26-2024 09:47,301,3,38.7393118,-9.141689596,2637.762032,3.165314438
108,38.7311467,-9.156830099,03-09-2024 05:22,03-09-2024 06:14,03-09-2024 06:56,304,1,38.7777372,-9.108544428,7457.237012,8.948684415
109,38.7169504,-9.111064867,10-25-2024 17:05,10-25-2024 17:46,10-25-2024 18:23,302,3,38.7598716,-9.134365445,5427.802045,6.513362454
110,38.7655979,-9.110101297,08-17-2024 13:16,08-17-2024 14:02,08-17-2024 14:35,304,3,38.7187446,-9.110015643,5207.23761,6.248685132
111,38.7819886,-9.104005178,11-16-2024 19:48,11-16-2024 20:19,11-16-2024 20:32,305,3,38.7258688,-9.187154957,11149.02981,13.37883577
112,38.7581191,-9.124138571,10-27-2024 10:26,10-27-2024 10:41,10-27-2024 11:18,304,3,38.756728,-9.149079508,2776.219069,3.331462882
113,38.7733563,-9.111930648,10-22-2024 07:06,10-22-2024 07:16,10-22-2024 07:56,304,3,38.7793943,-9.12668985,1772.280243,2.126736292
114,38.756084,-9.129301651,05-01-2024 06:02,05-01-2024 06:54,05-01-2024 07:39,300,2,38.7300476,-9.196060199,7963.78822,9.556545864
115,38.7533688,-9.158473991,01-21-2024 07:14,01-21-2024 07:55,01-21-2024 08:19,300,3,38.7579309,-9.151171485,956.9535827,1.148344299
116,38.7169653,-9.127946162,02-04-2024 16:15,02-04-2024 17:04,02-04-2024 17:58,304,2,38.7226829,-9.147012358,2212.226694,2.654672032
117,38.7433704,-9.181379025,01-13-2024 21:03,01-13-2024 21:43,01-13-2024 22:18,304,1,38.7460515,-9.099656281,9087.4706,10.90496472
118,38.7607841,-9.141386663,11-22-2024 10:53,11-22-2024 11:01,11-22-2024 11:18,300,1,38.7405065,-9.113863301,3799.452993,4.559343592
119,38.7613901,-9.117747726,07-13-2024 12:37,07-13-2024 12:49,07-13-2024 12:59,305,1,38.73144,-9.16325521,6054.719293,7.265663151
120,38.7809851,-9.165674438,06-13-2024 16:06,06-13-2024 16:52,06-13-2024 17:04,304,2,38.7178973,-9.169688196,7025.691035,8.430829243
121,38.7476739,-9.147305188,03-05-2024 17:04,03-05-2024 17:44,03-05-2024 18:10,300,2,38.7585006,-9.154187361,1425.795721,1.710954865
122,38.7846166,-9.147507546,04-23-2024 02:27,04-23-2024 02:41,04-23-2024 03:34,304,1,38.7309077,-9.144712692,5977.229781,7.172675737
123,38.7060447,-9.176952945,07-04-2024 00:38,07-04-2024 00:46,07-04-2024 01:32,304,2,38.747153,-9.092647386,10424.17443,12.50900932
124,38.7568006,-9.16780621,11-07-2024 11:54,11-07-2024 11:59,11-07-2024 12:37,300,3,38.7182413,-9.095180901,9138.61006,10.96633207
125,38.7021447,-9.186367448,08-19-2024 01:47,08-19-2024 02:06,08-19-2024 02:45,301,1,38.7815716,-9.126646064,11044.37411,13.25324893
126,38.7683212,-9.091286411,08-05-2024 02:42,08-05-2024 02:52,08-05-2024 03:40,304,3,38.7660784,-9.18532303,10454.10787,12.54492944
127,38.7837226,-9.114153571,11-06-2024 05:33,11-06-2024 06:09,11-06-2024 06:41,304,1,38.7650522,-9.150217271,4513.357792,5.41602935
128,38.76938,-9.149601674,11-06-2024 13:43,11-06-2024 14:11,11-06-2024 15:05,301,1,38.772788,-9.142108539,914.8673026,1.097840763
129,38.732834,-9.199678984,01-24-2024 09:32,01-24-2024 09:49,01-24-2024 10:17,302,3,38.7695317,-9.094972775,12330.97667,14.79717201
130,38.7888231,-9.093859371,10-24-2024 22:13,10-24-2024 22:49,10-24-2024 23:37,304,3,38.7487971,-9.190324014,11607.24778,13.92869733
131,38.716493,-9.162539542,12-04-2024 05:30,12-04-2024 06:06,12-04-2024 06:44,304,3,38.7567877,-9.103942544,7903.593566,9.484312279
132,38.7475143,-9.188794372,03-31-2024 19:35,03-31-2024 19:45,03-31-2024 20:28,300,1,38.7180462,-9.149370203,5470.290504,6.564348605
133,38.737392,-9.132866236,04-07-2024 18:29,04-07-2024 19:01,04-07-2024 19:39,300,3,38.7584317,-9.103317314,4031.463273,4.837755928
134,38.7843782,-9.107849294,04-01-2024 07:45,04-01-2024 08:02,04-01-2024 08:25,301,2,38.7367928,-9.188363733,10394.28659,12.47314391
135,38.7794413,-9.161141434,01-27-2024 11:55,01-27-2024 12:16,01-27-2024 12:27,304,3,38.7211268,-9.188117054,7140.855876,8.569027051
136,38.728552,-9.095308055,12-21-2024 11:04,12-21-2024 11:53,12-21-2024 12:15,302,3,38.7137541,-9.18312254,9897.214449,11.87665734
137,38.756023,-9.112553122,03-16-2024 16:46,03-16-2024 17:35,03-16-2024 18:10,304,1,38.7712234,-9.166791411,6260.238154,7.512285785
138,38.7274644,-9.131606511,02-11-2024 04:30,02-11-2024 04:39,02-11-2024 05:10,302,3,38.7012412,-9.144691576,3257.103071,3.908523685
139,38.7569158,-9.135641843,09-01-2024 07:56,09-01-2024 08:32,09-01-2024 09:24,305,3,38.764118,-9.098566294,4197.565719,5.037078863
140,38.7629401,-9.133588532,05-06-2024 11:56,05-06-2024 12:22,05-06-2024 13:08,305,2,38.7683168,-9.125622613,1068.119042,1.281742851
141,38.7641688,-9.107483045,01-11-2024 22:17,01-11-2024 22:41,01-11-2024 23:00,305,1,38.722911,-9.136185711,5585.825682,6.702990818
142,38.7876624,-9.166657908,12-15-2024 18:20,12-15-2024 19:02,12-15-2024 19:34,304,3,38.7411287,-9.09754222,9260.195627,11.11223475
143,38.783697,-9.179264852,09-21-2024 21:53,09-21-2024 22:06,09-21-2024 22:11,304,2,38.7804181,-9.194913596,1776.953693,2.132344431
144,38.7409788,-9.171128973,09-27-2024 12:20,09-27-2024 12:45,09-27-2024 12:56,301,3,38.7374352,-9.195282251,2713.107502,3.255729002
145,38.7025451,-9.148186967,08-24-2024 16:39,08-24-2024 17:32,08-24-2024 18:04,304,3,38.7214005,-9.096393754,6125.829066,7.350994879
146,38.7592593,-9.15472765,10-18-2024 21:20,10-18-2024 22:15,10-18-2024 22:40,300,3,38.7061151,-9.112406833,7550.386095,9.060463315
147,38.741719,-9.159860681,05-22-2024 05:22,05-22-2024 06:06,05-22-2024 06:50,300,1,38.7827876,-9.159558765,4564.446472,5.477335767
148,38.7565213,-9.164088341,12-09-2024 18:01,12-09-2024 18:23,12-09-2024 18:37,304,3,38.7602139,-9.147992535,1835.34295,2.20241154
149,38.7290455,-9.101578282,07-16-2024 09:44,07-16-2024 10:24,07-16-2024 10:37,305,3,38.73185,-9.127412013,2888.003912,3.465604694
150,38.7560186,-9.115084887,03-24-2024 14:23,03-24-2024 14:41,03-24-2024 15:22,302,2,38.7595697,-9.19902936,9337.848818,11.20541858
151,38.7589982,-9.191603221,12-26-2023 12:09,12-26-2023 13:00,12-26-2023 13:08,305,2,38.7046318,-9.112250703,10690.46703,12.82856044
152,38.7829734,-9.170324423,12-07-2024 01:13,12-07-2024 01:23,12-07-2024 01:31,304,3,38.7693697,-9.144198938,3273.607914,3.928329497
153,38.7330411,-9.184811116,05-09-2024 01:56,05-09-2024 02:11,05-09-2024 02:41,300,3,38.7397239,-9.156689155,3212.483333,3.854979999
154,38.7671974,-9.198800302,10-05-2024 16:10,10-05-2024 16:40,10-05-2024 17:21,302,1,38.7744712,-9.180334629,2205.736077,2.646883293
155,38.7738951,-9.139679582,05-11-2024 18:15,05-11-2024 19:08,05-11-2024 19:14,301,2,38.7633987,-9.109524091,3548.673753,4.258408503
156,38.7488434,-9.092897118,03-02-2024 15:49,03-02-2024 16:07,03-02-2024 16:18,302,3,38.7003667,-9.128636482,6693.569525,8.032283429
157,38.7718187,-9.11507883,03-27-2024 10:35,03-27-2024 11:18,03-27-2024 11:32,302,1,38.7575737,-9.125851259,1984.897896,2.381877475
158,38.7066874,-9.118573946,08-29-2024 02:04,08-29-2024 02:10,08-29-2024 02:31,302,3,38.7599036,-9.114819696,5929.094653,7.114913584
159,38.7197491,-9.160382593,01-27-2024 00:11,01-27-2024 00:48,01-27-2024 01:33,300,2,38.7729635,-9.172028591,6054.170544,7.265004653
160,38.7412273,-9.110213027,01-07-2024 20:44,01-07-2024 20:53,01-07-2024 21:37,304,1,38.7305032,-9.114188781,1271.135475,1.52536257
161,38.7459782,-9.091045065,02-05-2024 20:23,02-05-2024 20:34,02-05-2024 21:01,300,2,38.7373959,-9.115552434,2885.907721,3.463089265
162,38.7080892,-9.095641304,03-04-2024 16:06,03-04-2024 16:33,03-04-2024 17:18,305,3,38.7507365,-9.17919477,10425.74687,12.51089624
163,38.7261981,-9.099664375,03-13-2024 02:31,03-13-2024 02:49,03-13-2024 02:58,302,1,38.7578889,-9.095468304,3552.823397,4.263388077
164,38.7661742,-9.136515534,05-09-2024 16:29,05-09-2024 16:57,05-09-2024 17:48,300,2,38.7290442,-9.121385888,4456.026819,5.347232183
165,38.7259044,-9.188769342,02-24-2024 07:03,02-24-2024 07:50,02-24-2024 08:34,304,3,38.7326098,-9.164246843,2825.457108,3.39054853
166,38.7421902,-9.154504129,08-23-2024 07:54,08-23-2024 08:14,08-23-2024 08:29,302,3,38.7486762,-9.098776868,6235.280054,7.482336065
167,38.7873737,-9.0976085,09-21-2024 06:33,09-21-2024 07:02,09-21-2024 07:15,301,1,38.7214399,-9.115438264,7591.018633,9.109222359
168,38.766161,-9.190791009,03-28-2024 05:28,03-28-2024 05:50,03-28-2024 06:34,301,2,38.7724419,-9.171181742,2288.419365,2.746103238
169,38.752825,-9.198427329,06-21-2024 14:06,06-21-2024 14:14,06-21-2024 14:34,300,3,38.7239567,-9.132874988,7960.600498,9.552720598
170,38.7831871,-9.101649437,02-23-2024 13:38,02-23-2024 14:07,02-23-2024 14:15,304,3,38.7876568,-9.194675339,10350.73293,12.42087952
171,38.7323046,-9.171370164,10-04-2024 14:46,10-04-2024 15:07,10-04-2024 16:00,305,3,38.7809865,-9.138577365,6523.485406,7.828182487
172,38.7599099,-9.174901224,12-04-2024 12:33,12-04-2024 12:58,12-04-2024 13:03,304,3,38.7112021,-9.18158403,5464.049981,6.556859978
173,38.7255999,-9.169655082,04-04-2024 16:19,04-04-2024 16:25,04-04-2024 17:09,304,1,38.7242024,-9.164954335,545.034864,0.654041837
174,38.7188594,-9.107175139,06-01-2024 03:45,06-01-2024 04:16,06-01-2024 04:33,304,2,38.760956,-9.108926963,4682.623351,5.619148021
175,38.7567708,-9.125089348,09-15-2024 17:42,09-15-2024 18:07,09-15-2024 18:53,305,3,38.7763159,-9.097956927,3716.397764,4.459677317
176,38.7537449,-9.194242031,12-21-2024 18:01,12-21-2024 18:23,12-21-2024 19:05,301,3,38.7891656,-9.096215668,11583.96515,13.90075818
177,38.7657277,-9.152376214,11-16-2024 23:14,11-16-2024 23:34,11-16-2024 00:09,302,3,38.7122525,-9.199263495,7904.174219,9.485009062
178,38.7064799,-9.182237518,01-14-2024 19:57,01-14-2024 20:16,01-14-2024 20:53,300,3,38.7587573,-9.144669141,7154.7189,8.58566268
179,38.7449113,-9.112432048,02-11-2024 06:21,02-11-2024 06:27,02-11-2024 07:15,301,3,38.7634168,-9.195664237,9476.221599,11.37146592
180,38.7080442,-9.13589531,11-02-2024 05:22,11-02-2024 06:16,11-02-2024 07:07,305,3,38.7852904,-9.144065145,8632.947887,10.35953746
